Name,Description(short_description),Version / Baseline,Directorate,Status,Access Type,Geo Restriction,Product Types,Heritage,Constellations,Landing Page URL,Dissemination mode,Data Policy URL,Creation year,Publication Year,File Format,Owned by,Deputy Owner,Collection,Dataset,Campaign,EarthOnline page requested,Authors,Creators,Publisher,Language
GF_NE__KBR_2F,Time series of the averaged electron density (Ne) between GRACE-FO 1 and 2 satellites,0,D/EOP,Available,External Data,World Wide,GF_NE__KBR_2F,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/GF_NE__KBR_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
SW_EFIxIDM_2_,Swarm Electric Field Instrument (EFI) Langumir Probe (LP) Ion Drift and Effective Mass,0,D/EOP,Available,External Data,World Wide,"SW_EFIAIDM_2_, SW_EFIBIDM_2_, SW_EFICIDM_2_",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_EFIxIDM_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,University of Calgary,European Space Agency,European Space Agency,en
SW_EFIxLPI_1B,Electric field instrument (EFI) Langmuir probe (LP) measurements at 1Hz,0,D/EOP,Available,External Data,World Wide,"SW_EFIALPI_1B, SW_EFIBLPI_1B, SW_EFICLPI_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_EFIxLPI_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_FACxTMS_2F,Field-aligned currents (single satellite),0,D/EOP,Available,External Data,World Wide,"SW_FACATMS_2F, SW_FACBTMS_2F, SW_FACCTMS_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_FACxTMS_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2014,2014,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
SW_CFW_SHA_2Y,Toroidal and poloidal core flow coefficients co-estimated with the magnetic field model MCO_SHA_2Y,0,D/EOP,Available,External Data,World Wide,SW_CFW_SHA_2Y,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_CFW_SHA_2Y,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Institut de physique du globe de Paris,European Space Agency,European Space Agency,en
SW_SP3xCOM_2_,Precise reduced-dynamic orbit solutions,0,D/EOP,Available,External Data,World Wide,"SW_SP3ACOM_2_, SW_SP3BCOM_2_, SW_SP3CCOM_2_",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_SP3xCOM_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2015,2015,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Delft University of Technology,European Space Agency,European Space Agency,en
SW_GPSx_RO_1B,GPS RINEX Observation data,0,D/EOP,Available,External Data,World Wide,"SW_GPSA_RO_1B, SW_GPSB_RO_1B, SW_GPSC_RO_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_GPSx_RO_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
CH_WND_ACC_2_,Thermosphere crosswind at the CHAMP satellite location,0,D/EOP,Available,External Data,World Wide,CH_WND_ACC_2_,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/CH_WND_ACC_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2023,2023,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Delft University of Technology,European Space Agency,European Space Agency,en
SW_MIN_1DM_2_,Model of electrical conductivity of the mantle,0,D/EOP,Available,External Data,World Wide,SW_MIN_1DM_2_,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MIN_1DM_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2015,2015,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,ETH Zurich,European Space Agency,European Space Agency,en
MM_CON_EPH_2_,Conjunction information,0,D/EOP,Available,External Data,World Wide,MM_CON_EPH_2_,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/MM_CON_EPH_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Delft University of Technology,European Space Agency,European Space Agency,en
